N° de Ensayo,N° de Repetición,N° de Clon,ID de Árbol,Latitud del Árbol,Longitud del Árbol,¿Árbol Faltante?,Área de la Copa del Árbol
578,874,714,1,167.7476809933567,5.386912323613444,No,325.0913849417351
578,874,714,2,177.4259498246235,86.77526297748531,No,128.77737764402983
578,874,714,3,43.76054855376091,53.36688962464217,No,228.7539570260012
578,874,714,4,45.710195933486176,-49.9318534596486,No,686.8328012565437
578,874,714,5,-98.9767450112804,-64.21153403753613,No,259.8500584748109
578,874,714,6,-86.23301494239426,-37.385401947462924,No,202.72775540100784
578,874,714,7,-164.83487076121594,50.971825975061506,No,188.4291783849464
578,874,714,8,-22.112469558612247,-51.46754966495539,No,152.68519606757684
578,874,714,9,127.46721171394961,-41.267143797882845,No,574.4895405916961
578,874,714,10,-125.23589883673374,45.948067656488746,No,174.98230815709957
578,874,714,11,97.00997946362781,38.184524032403374,No,319.77374524053937
578,874,714,12,-83.26026269890252,30.90687388894436,No,288.7652069410568
578,874,714,13,-16.82674182407584,-60.34715005399967,No,35.05813265215933
578,874,714,14,-101.32042207031756,53.29135742344425,No,87.48548306099693
578,874,714,15,-83.58489051763908,7.317522515345189,No,549.8108378701368
578,874,714,16,-64.38277545080608,61.57234448199833,No,207.26593160972024
578,874,714,17,-92.35074678620545,-31.431408562527423,No,328.475735385535
578,874,714,18,-162.35159648810966,-84.74133507709227,No,116.94415194022763
578,874,714,19,-171.417436378751,28.123809338356395,No,236.35197568150397
578,874,714,20,119.60505827309129,-49.622453866812734,No,428.3626937721761
578,874,714,21,-74.4968729178014,-8.534124032565273,No,695.9184648577822
578,874,714,22,-4.861801932160176,87.90836923690935,No,394.7553934002076
578,874,714,23,-123.05632505421508,-84.53999741259851,No,138.76386269912325
578,874,714,24,-64.36823985866839,-67.40252181911777,No,68.2845372900033
578,874,714,25,68.70709714434531,44.94054756956305,No,14.881135664194076
578,874,714,26,54.98354433345398,42.78843126134316,No,242.77441068736925
578,874,714,27,67.29396091114603,-11.891188236444336,No,303.3134811788998
578,874,714,28,25.514728573854597,-50.0265309391273,Si,272.16707938904995
578,874,714,29,-173.13913551912017,28.711876377110045,No,106.40244003591926
