N° de Ensayo,N° de Repetición,N° de Clon,ID del Árbol,Latitud del Árbol,Longitud del Árbol,¿Árbol Faltante?,Área de la Copa del Árbol
898,646,944,1,-41.998277640811864,-67.32799236340432,No,93.74696478692225
898,646,944,2,151.94955203992004,-34.90394750943109,No,94.91312835897024
898,646,944,3,110.67645642917631,19.603787302566943,No,92.48371588587993
898,646,944,4,-133.6638157167977,19.43804780475986,Si,725.9851248929933
898,646,944,5,-169.38016511104072,-21.299072199135196,No,100.89435536579293
898,646,944,6,-18.338212200415057,76.56487698998532,No,139.91219279600514
898,646,944,7,-178.92583541593774,-60.83731714963569,No,27.262315318622203
898,646,944,8,-46.792315154342845,-15.59168461349691,No,368.9556535082549
898,646,944,9,-110.26713964528837,-13.664160248021716,No,197.2527531390894
898,646,944,10,4.050167665265377,-49.05241710611485,No,43.24044115248922
898,646,944,11,-105.21460978745871,51.664812213582195,No,269.01773220125745
898,646,944,12,-28.79418462545516,76.116972121658,No,148.6359370353749
898,646,944,13,-176.76946382519318,-76.77031764298926,No,444.58073969481046
898,646,944,14,57.06945005892868,14.645765484931758,No,39.476320871481214
898,646,944,15,16.96142814819467,8.07284154311769,No,367.4518928546767
898,646,944,16,-53.75739566016813,-80.32472862153338,No,410.8394107702291
898,646,944,17,87.49065876973202,35.726690057948915,No,315.23323459631087
898,646,944,18,147.0520443555589,-48.79561047900227,No,290.99025407268454
898,646,944,19,-56.37306091871213,67.46053864495923,No,808.8893635749987
898,646,944,20,-100.74389368738682,24.914467526714674,No,444.79432842502354
898,646,944,21,-63.567152827365575,-25.601029730492556,No,288.9845613001742
898,646,944,22,-34.206617779591596,-44.3459187981125,No,51.50302565393715
898,646,944,23,153.08158011734173,63.85273830854831,No,332.67463231076755
898,646,944,24,133.32306437306806,-49.981149140177926,No,440.43072213349825
898,646,944,25,54.470141739076354,-64.5823687060126,No,79.94354151404193
898,646,944,26,-83.93837357257628,43.42732979609028,No,533.1465805721019
898,646,944,27,67.53475163895027,76.2552076913125,No,145.53772796183955
898,646,944,28,43.8913437202886,-40.36152808128347,No,754.9779340101766
898,646,944,29,-48.83258246464035,-57.28509885478936,No,72.26280581032131
