N° de Ensayo,N° de Repetición,N° de Clon,ID del Árbol,Latitud del Árbol,Longitud del Árbol,¿Árbol Faltante?,Área de la Copa del Árbol
570,802,646,1,-37.801169986775506,-32.574461397539885,No,107.32747141734698
570,802,646,2,-56.045330179644566,-74.91323467255027,No,9.244626911516963
570,802,646,3,-19.7242419341558,5.770518897667884,Si,474.44033485296916
570,802,646,4,-164.50702345216018,38.6828793917588,No,214.039711527091
570,802,646,5,-32.98378007640687,-69.91408596091443,No,212.26058892359785
570,802,646,6,17.120936683860975,-80.81351869577622,No,508.85654710626505
570,802,646,7,112.16415404538083,46.970424054507134,No,92.02489829517715
570,802,646,8,-58.58312557282899,-50.131555362046015,No,292.8355423558207
570,802,646,9,-42.85309931348431,49.04691919422987,No,162.887138367574
570,802,646,10,63.1595998964477,44.701751408688324,No,673.1772413563475
570,802,646,11,-158.36914297500658,-25.864992926471047,No,418.3494759908792
570,802,646,12,144.0867621780904,70.35299388108669,No,237.02898659026502
570,802,646,13,136.81183880775797,-26.2426792724533,No,437.8561001831419
570,802,646,14,-66.27526617359385,57.945319646724414,No,104.54058931165974
570,802,646,15,-21.132358944345185,45.03998378256969,No,803.523116236117
570,802,646,16,-115.03940281809793,-65.33291079460976,No,179.06250153507372
570,802,646,17,-167.10585079002232,-60.439998893499435,No,134.78467593504996
570,802,646,18,-130.2138306438104,-34.45934924735622,No,731.9539762995968
570,802,646,19,-175.40100107848335,42.94701835608481,No,641.0336244691064
570,802,646,20,30.483226079671,11.351326970659613,No,294.7525422241178
570,802,646,21,-80.86365908186502,32.118212522736926,No,141.69948332089015
570,802,646,22,170.21532670768897,43.09204455576824,No,475.61835062080434
